Date,Time,IonicID,Ticker,Type,Shares,Price,Broker,Stamp,Total,NonCash,Note
3/12/2019,14:54,,,Charges,,,,,8.26,,""
3/12/2019,22:49,,,Credit,,,,,892.32,,"Employer Contribution"
9/12/2019,14:52,,,Interest,,,,,0.56,,""
31/12/2019,14:50,,,Credit,,,,,892.32,,"Employer Contribution"
3/1/2020,19:55,,,Charges,,,,,8.83,,""
9/1/2020,14:47,,,Interest,,,,,0.79,,""
5/2/2020,19:56,,,Charges,,,,,9.4,,""
6/2/2020,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
9/2/2020,00:00,,,Interest,,,,,0.74,,""
3/3/2020,14:14,,,Charges,,,,,7.49,,""
5/3/2020,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
9/3/2020,00:00,,,Interest,,,,,0.77,,""
2/4/2020,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
3/4/2020,00:00,,,Charges,,,,,5.44,,""
9/4/2020,00:00,,,Interest,,,,,0.07,,""
4/5/2020,00:00,,,Charges,,,,,6.43,,""
5/5/2020,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
2/6/2020,00:00,,,Charges,,,,,7.72,,""
3/6/2020,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
6/7/2020,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
6/7/2020,00:00,,,Charges,,,,,8.37,,""
4/8/2020,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
4/8/2020,00:00,,,Charges,,,,,8.97,,""
2/9/2020,00:00,,,Charges,,,,,9.82,,""
4/9/2020,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
3/10/2020,00:00,,,Charges,,,,,10.46,,""
5/10/2020,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
3/11/2020,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
3/11/2020,00:00,,,Charges,,,,,11.26,,""
2/12/2020,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
2/12/2020,00:00,,,Charges,,,,,12.11,,""
5/1/2021,00:00,,,Charges,,,,,13.74,,""
7/1/2021,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
